"Clé","Type de ticket","Parent","Résumé","État","Responsable","Sprint","Start date","Date de début supposée","Date d'échéance","Date d'échéance supposée","Issue color"
"IN-67","Epic","","Setup project and database structure","En cours","","","2024/04/01","2024/04/01","2024/04/14","2024/04/14","purple"
"IN-69","Story","IN-67","As a DEVELOPER, I want a database infrastructure, so that we can store app data","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-70","Story","IN-67","As a DEVELOPER, I want my pushed code to trigger an automatic build and unit tests, ensuring regular and reliable code integration","Terminé(e)","Adam Mehdaoui","SPRINT 1","","","","","purple"
"IN-68","Story","IN-67","As a DEVELOPER, I want a project environment to build the application","Terminé(e)","Adam Mehdaoui","SPRINT 1","","","","","purple"
"IN-82","Story","IN-67","As a USER, I want the app to be a PWA (Progressive Web App) to enhance my UX on web and mobile platforms","Terminé(e)","Adam Mehdaoui","SPRINT 1","","","","","purple"
"IN-85","Story","IN-67","As a DEVELOPER, I want a plugin to sort my plugins ","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-71","Story","IN-67","Create git repository","Terminé(e)","Adam Mehdaoui","","","","","","purple"
"IN-73","Epic","","Create Project Guidelines and Initial Management","À faire","","","2024/04/01","2024/04/01","2024/05/30","2024/05/30","purple"
"IN-80","Story","IN-73","As a USER, I want a clear GDPR statement to understand how my data is used","Terminé(e)","Adam Mehdaoui","SPRINT 2","","","","","purple"
"IN-78","Story","IN-73","As the CLIENT, I want a mockup of the tender response","En cours","Mathieu MORGAT","SPRINT 3","","","","","purple"
"IN-79","Story","IN-73","As the CLIENT, I want a Gantt chart to visualize the project timeline","En cours","Mathieu MORGAT","SPRINT 3","","","","","purple"
"IN-77","Story","IN-73","As the CLIENT, I want a GREEN IT document","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-74","Story","IN-73","Create Jira","Terminé(e)","Adam Mehdaoui","","","","","","purple"
"IN-75","Story","IN-73","Create all epics and stories","Terminé(e)","Adam Mehdaoui","","","","","","purple"
"IN-76","Story","IN-73","Create Epic chronology on Jira","Terminé(e)","Mathieu MORGAT","","","","","","purple"
"IN-2","Epic","","MINTER Registration and Login","À faire","","","2024/04/05","2024/04/05","2024/04/30","2024/04/30","purple"
"IN-1","Story","IN-2","As a MINTER, I can create an account, when I provide my e-mail and a password","Terminé(e)","Prajay Chaudhary","SPRINT 1","","","","","purple"
"IN-5","Story","IN-2","As a MINTER, I can delete my account.","Terminé(e)","Adam Mehdaoui","SPRINT 2","","","","","purple"
"IN-4","Story","IN-2","As a MINTER, I can reset my password","Terminé(e)","Prajay Chaudhary","SPRINT 2","","","","","purple"
"IN-7","Epic","","Profile Creation and Customization","À faire","","","2024/04/18","2024/04/18","2024/05/31","2024/05/31","purple"
"IN-23","Story","IN-7","As a MINTER, I can change my profile's unique link","À faire","Mathieu MORGAT","SPRINT 1","","","","","purple"
"IN-25","Story","IN-7","As a MINTER, I can change my profile's picture by uploading it","Terminé(e)","Adam Mehdaoui","SPRINT 2","","","","","purple"
"IN-24","Story","IN-7","As a MINTER, I can change my profile's bio","En cours","Mathieu MORGAT","SPRINT 3","","","","","purple"
"IN-26","Story","IN-7","As a MINTER, I can change my profile's username, if not already taken","À faire","Mathieu MORGAT","SPRINT 3","","","","","purple"
"IN-6","Epic","","MINTER Privacy/Security Settings","À faire","","","2024/04/18","2024/04/18","2024/05/31","2024/05/31","purple"
"IN-17","Story","IN-6","As a MINTER, I can securely change my e-mail","À faire","","SPRINT 1","","","","","purple"
"IN-18","Story","IN-6","As a MINTER, I can add or remove a 2FA authentication","À faire","","","","","","","purple"
"IN-22","Story","IN-6","As a MINTER, I can change the app's interface language","Terminé(e)","Adam Mehdaoui","SPRINT 1","","","","","purple"
"IN-16","Story","IN-6","As a MINTER, I can securely change my password","Terminé(e)","Adam Mehdaoui","SPRINT 2","","","","","purple"
"IN-19","Story","IN-6","As a MINTER, I can enable ""search by e-mail"" feature","Terminé(e)","Jimmy Martin","SPRINT 2","","","","","purple"
"IN-21","Story","IN-6","As a MINTER, I can change the visibility of my profile","À faire","Mathieu MORGAT","SPRINT 3","","","","","purple"
"IN-20","Story","IN-6","As a MINTER, I can import my contacts from my phone's contacts or social network account","À faire","","","","","","","purple"
"IN-8","Epic","","Social Features (single MINTER)","À faire","","","2024/04/18","2024/04/18","","","purple"
"IN-34","Story","IN-8","As a MINTER, I can load more comments","À faire","Jimmy Martin","","","","","","purple"
"IN-37","Story","IN-8","As a MINTER, I can follow other users and see their content in my feed","Terminé(e)","Adam Mehdaoui","SPRINT 2","","","","","purple"
"IN-31","Story","IN-8","As a MINTER, I can like/dislike an NFT (Part 1)","Terminé(e)","Jimmy Martin","SPRINT 3","","","","","purple"
"IN-32","Story","IN-8","As a MINTER, I can comment on an NFT (Part 1)","Terminé(e)","Jimmy Martin","SPRINT 2","","","","","purple"
"IN-35","Story","IN-8","As a MINTER, I can share a link to a specific NFT","À faire","Prajay Chaudhary","SPRINT 3","","","","","purple"
"IN-42","Story","IN-8","As a MINTER, I can report an NFT","À faire","Prajay Chaudhary","SPRINT 3","","","","","purple"
"IN-33","Story","IN-8","As a MINTER, I can fold/unfold comments thread","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-29","Story","IN-8","As a MINTER, I can see users' profile","À faire","","","","","","","purple"
"IN-30","Story","IN-8","As a MINTER, I can see on a MINTER's profile, the list of his NFTs","À faire","","","","","","","purple"
"IN-36","Story","IN-8","As a MINTER, I can share a link to a specific MINTER's profile","À faire","","","","","","","purple"
"IN-38","Story","IN-8","As a MINTER, I can accept or ignore follow requests from other users","À faire","","","","","","","purple"
"IN-39","Story","IN-8","As a MINTER, I can send private messages to other users","À faire","","","","","","","purple"
"IN-40","Story","IN-8","As a MINTER, I can report a MINTER (profile)","À faire","","","","","","","purple"
"IN-41","Story","IN-8","As a MINTER, I can report a comment","À faire","","","","","","","purple"
"IN-100","Story","IN-8","As a MINTER, I can comment on an NFT (Part 2)","À faire","Jimmy Martin","","","","","","purple"
"IN-9","Epic","","Social Features (multi MINTERS aka TEA BAG)","À faire","","","2024/06/26","2024/06/26","","","purple"
"IN-43","Story","IN-9","As a MINTER, I can create a TEA BAG (club)","À faire","","","","","","","purple"
"IN-44","Story","IN-9","As a COOK, I can manage the NFTs of the TEA BAG I'm member of","À faire","","","","","","","purple"
"IN-45","Story","IN-9","As a COOK, I can manage the TEA BAG profile","À faire","","","","","","","purple"
"IN-46","Story","IN-9","As a COOK, I can delete the TEA BAG profile","À faire","","","","","","","purple"
"IN-47","Story","IN-9","As a MINTER, I can report a TEA BAG","À faire","","","","","","","purple"
"IN-13","Epic","","Original Content Management","Terminé(e)","","","2024/06/01","2024/06/01","","","purple"
"IN-64","Story","IN-13","As a MINTER, I can upload an original content","Terminé(e)","Prajay Chaudhary","SPRINT 2","","","","","purple"
"IN-65","Story","IN-13","As a MINTER, I can delete any of my own original content","Revue en cours","Prajay Chaudhary","SPRINT 3","","","","","purple"
"IN-66","Story","IN-13","As a MINTER, I can create a draft from my uploaded original content before making","À faire","Prajay Chaudhary","SPRINT 3","","","","","purple"
"IN-15","Epic","","Admin Dashboard","À faire","","","2024/04/07","2024/04/07","","","purple"
"IN-83","Story","IN-15","[BACKOFFICE] As an ADMIN, I can log to the admin dashboard when I provide my username and password","Terminé(e)","Adam Mehdaoui","SPRINT 1","","","","","purple"
"IN-59","Story","IN-15","[BACKOFFICE] As an ADMIN, I can list all reports","Terminé(e)","Adam Mehdaoui","SPRINT 1","","","","","purple"
"IN-62","Story","IN-15","[BACKOFFICE] As an ADMIN, I can delete a MINTER's account","Terminé(e)","Jimmy Martin","SPRINT 3","","","","","purple"
"IN-63","Story","IN-15","[BACKOFFICE] As an ADMIN, I can disable a MINTER's account","À faire","Jimmy Martin","SPRINT 3","","","","","purple"
"IN-60","Story","IN-15","[BACKOFFICE] As an ADMIN, I can see a dashboard with different analytics","En cours","Adam Mehdaoui","SPRINT 3","","","","","purple"
"IN-61","Story","IN-15","[BACKOFFICE] As an ADMIN, I can delete a comment","Terminé(e)","Adam Mehdaoui","SPRINT 1","","","","","purple"
"IN-57","Story","IN-15","[BACKOFFICE] As an ADMIN, I can delete a TEA BAG","À faire","","","","","","","purple"
"IN-58","Story","IN-15","[BACKOFFICE] As an ADMIN, I can delete an NFT","À faire","","","","","","","purple"
"IN-10","Epic","","Search","À faire","","","2024/04/18","2024/04/18","2024/05/31","2024/05/31","purple"
"IN-97","Story","IN-10","As a MINTER, I can access to all NFTs related to an hashtag from the NFT page","Terminé(e)","Jimmy Martin","SPRINT 2","","","","","purple"
"IN-28","Story","IN-10","As a MINTER, I can search users and TEA BAGS","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-27","Story","IN-10","As a MINTER, I can search NFTs","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-84","Story","IN-10","As a MINTER, I can search NFTs and users or tea bags","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-11","Epic","","Notifications","À faire","","","2024/06/26","2024/06/26","","","purple"
"IN-49","Story","IN-11","As a MINTER, I can disable notification by type","Terminé(e)","Adam Mehdaoui","SPRINT 3","","","","","purple"
"IN-48","Story","IN-11","As a MINTER, I can see the list of all my notifications","À faire","","","","","","","purple"
"IN-50","Story","IN-11","As a MINTER, I can ignore all comments related to a specific NFT from the notification list","À faire","","","","","","","purple"
"IN-12","Epic","","Cryptocurrency Integration","À faire","","","2024/06/26","2024/06/26","","","purple"
"IN-51","Story","IN-12","As a MINTER, I can add cryptocurrencies to my wallet","À faire","","","","","","","purple"
"IN-52","Story","IN-12","As a MINTER, I can buy and sell NFTs using my cryptocurrency wallet","À faire","","","","","","","purple"
"IN-14","Epic","","NFT Trading and Marketplace","À faire","","","2024/06/26","2024/06/26","","","purple"
"IN-56","Story","IN-14","As a MINTER, I can mint my uploaded digital content (a draft) into an NFT","À faire","Jimmy Martin","SPRINT 3","","","","","purple"
"IN-53","Story","IN-14","As a MINTER, I can trade NFTs with other users, when I find a MINTER interested in trading their NFT","À faire","","","","","","","purple"
"IN-54","Story","IN-14","As a MINTER, I can buy NFTs from other users, when I find an NFT I like in the marketplace","À faire","","","","","","","purple"
"IN-55","Story","IN-14","As a MINTER, I can sell my NFTs in the marketplace","À faire","","","","","","","purple"
